Gene;effect;qualityType;restriction_persent;restriction_time;age;organism;line;sex;sample;link
0610007P14Rik;increase;mRNA;40;16_weeks;5_months;mouse;C57BL/6J;male;liver;10.1038/s41598-017-00267-9
0610011F06Rik;decrease;mRNA;60;20_days;20_weeks;mouse;C57BL/6J;both;muscle;10.3390/genes12050691
1110001J03Rik;increase;mRNA;40;16_weeks;5_months;mouse;C57BL/6J;male;liver;10.1038/s41598-017-00267-9
1110002E22Rik;increase;mRNA;60;20_days;20_weeks;mouse;C57BL/6J;both;muscle;10.3390/genes12050691
1110002E22Rik;decrease;mRNA;60;20_days;80_weeks;mouse;C57BL/6J;both;muscle;10.3390/genes12050691
1110019D14Rik;increase;mRNA;40;16_weeks;5_months;mouse;C57BL/6J;male;liver;10.1038/s41598-017-00267-9
1110034G24Rik;increase;mRNA;40;16_weeks;5_months;mouse;C57BL/6J;male;liver;10.1038/s41598-017-00267-9
1110038B12Rik;increase;mRNA;40;16_weeks;5_months;mouse;C57BL/6J;male;liver;10.1038/s41598-017-00267-9
1110051M20Rik;increase;mRNA;40;16_weeks;5_months;mouse;C57BL/6J;male;liver;10.1038/s41598-017-00267-9
1110059E24Rik;increase;mRNA;40;16_weeks;5_months;mouse;C57BL/6J;male;liver;10.1038/s41598-017-00267-9
1110059M19Rik;decrease;mRNA;20;8_months;3_months;mouse;C57BL/6;male;fat;10.1093/gerona/glx101
1110059M19Rik;decrease;mRNA;30;8_months;3_months;mouse;C57BL/6;male;fat;10.1093/gerona/glx101
1110059M19Rik;decrease;mRNA;40;8_months;3_months;mouse;C57BL/6;male;fat;10.1093/gerona/glx101
1110065P20Rik;increase;mRNA;40;16_weeks;5_months;mouse;C57BL/6J;male;liver;10.1038/s41598-017-00267-9
1190007I07Rik;increase;mRNA;40;16_weeks;5_months;mouse;C57BL/6J;male;liver;10.1038/s41598-017-00267-9
1300002E11Rik;decrease;mRNA;40;16_weeks;5_months;mouse;C57BL/6J;male;liver;10.1038/s41598-017-00267-9
1500011K16Rik;increase;mRNA;40;16_weeks;5_months;mouse;C57BL/6J;male;liver;10.1038/s41598-017-00267-9
1500017E21Rik;increase;mRNA;40;16_weeks;5_months;mouse;C57BL/6J;male;liver;10.1038/s41598-017-00267-9
1500026H17Rik;increase;mRNA;40;16_weeks;5_months;mouse;C57BL/6J;male;liver;10.1038/s41598-017-00267-9
1600012H06Rik;decrease;mRNA;60;20_days;20_weeks;mouse;C57BL/6J;both;muscle;10.3390/genes12050691
1600014C10Rik;increase;mRNA;40;16_weeks;5_months;mouse;C57BL/6J;male;liver;10.1038/s41598-017-00267-9
1600014C10Rik;decrease;mRNA;60;20_days;80_weeks;mouse;C57BL/6J;both;muscle;10.3390/genes12050691
1700001L05Rik;increase;mRNA;40;16_weeks;5_months;mouse;C57BL/6J;male;liver;10.1038/s41598-017-00267-9
1700001O22Rik;increase;mRNA;60;20_days;20_weeks;mouse;C57BL/6J;both;muscle;10.3390/genes12050691
1700008J07Rik;decrease;mRNA;40;16_weeks;5_months;mouse;C57BL/6J;male;liver;10.1038/s41598-017-00267-9
1700018L02Rik;increase;mRNA;40;16_weeks;5_months;mouse;C57BL/6J;male;liver;10.1038/s41598-017-00267-9
1700020I14Rik;increase;mRNA;40;16_weeks;5_months;mouse;C57BL/6J;male;liver;10.1038/s41598-017-00267-9
1700025G04Rik;decrease;mRNA;40;16_weeks;5_months;mouse;C57BL/6J;male;liver;10.1038/s41598-017-00267-9
1700028E10Rik;increase;mRNA;40;16_weeks;5_months;mouse;C57BL/6J;male;liver;10.1038/s41598-017-00267-9
1700034P13Rik;increase;mRNA;40;16_weeks;5_months;mouse;C57BL/6J;male;liver;10.1038/s41598-017-00267-9
1700047G03Rik;decrease;mRNA;20;8_months;3_months;mouse;C57BL/6;male;fat;10.1093/gerona/glx101
1700047G03Rik;decrease;mRNA;30;8_months;3_months;mouse;C57BL/6;male;fat;10.1093/gerona/glx101
1700047G03Rik;decrease;mRNA;40;8_months;3_months;mouse;C57BL/6;male;fat;10.1093/gerona/glx101
1700052K11Rik;decrease;mRNA;40;16_weeks;5_months;mouse;C57BL/6J;male;liver;10.1038/s41598-017-00267-9
1810008I18Rik;increase;mRNA;40;16_weeks;5_months;mouse;C57BL/6J;male;liver;10.1038/s41598-017-00267-9
1810014B01Rik;increase;mRNA;40;16_weeks;5_months;mouse;C57BL/6J;male;liver;10.1038/s41598-017-00267-9
1810022K09Rik;decrease;mRNA;40;16_weeks;5_months;mouse;C57BL/6J;male;liver;10.1038/s41598-017-00267-9
1810043G02Rik;increase;mRNA;40;16_weeks;5_months;mouse;C57BL/6J;male;liver;10.1038/s41598-017-00267-9
1810053B23Rik;increase;mRNA;40;16_weeks;5_months;mouse;C57BL/6J;male;liver;10.1038/s41598-017-00267-9
1810064F22Rik;increase;mRNA;40;16_weeks;5_months;mouse;C57BL/6J;male;liver;10.1038/s41598-017-00267-9
2010001A14Rik;increase;mRNA;40;16_weeks;5_months;mouse;C57BL/6J;male;liver;10.1038/s41598-017-00267-9
2010003K11Rik;decrease;mRNA;40;16_weeks;5_months;mouse;C57BL/6J;male;liver;10.1038/s41598-017-00267-9
2010003K11Rik;increase;mRNA;20;8_months;3_months;mouse;C57BL/6;male;fat;10.1093/gerona/glx101
2010003K11Rik;increase;mRNA;30;8_months;3_months;mouse;C57BL/6;male;fat;10.1093/gerona/glx101
2010003K11Rik;increase;mRNA;40;8_months;3_months;mouse;C57BL/6;male;fat;10.1093/gerona/glx101
2210016F16Rik;decrease;mRNA;40;16_weeks;5_months;mouse;C57BL/6J;male;liver;10.1038/s41598-017-00267-9
2210417A02Rik;decrease;mRNA;40;16_weeks;5_months;mouse;C57BL/6J;male;liver;10.1038/s41598-017-00267-9
2310001H17Rik;increase;mRNA;40;16_weeks;5_months;mouse;C57BL/6J;male;liver;10.1038/s41598-017-00267-9
2310005A03Rik;increase;mRNA;40;16_weeks;5_months;mouse;C57BL/6J;male;liver;10.1038/s41598-017-00267-9
2310033P09Rik;decrease;mRNA;40;16_weeks;5_months;mouse;C57BL/6J;male;liver;10.1038/s41598-017-00267-9
2310040G24Rik;increase;mRNA;40;16_weeks;5_months;mouse;C57BL/6J;male;liver;10.1038/s41598-017-00267-9
2310044G17Rik;increase;mRNA;20;8_months;3_months;mouse;C57BL/6;male;fat;10.1093/gerona/glx101
2310044G17Rik;increase;mRNA;30;8_months;3_months;mouse;C57BL/6;male;fat;10.1093/gerona/glx101
2310044G17Rik;increase;mRNA;40;8_months;3_months;mouse;C57BL/6;male;fat;10.1093/gerona/glx101
2310061I04Rik;increase;mRNA;20;8_months;3_months;mouse;C57BL/6;male;fat;10.1093/gerona/glx101
2310061I04Rik;increase;mRNA;30;8_months;3_months;mouse;C57BL/6;male;fat;10.1093/gerona/glx101
2310061I04Rik;increase;mRNA;40;8_months;3_months;mouse;C57BL/6;male;fat;10.1093/gerona/glx101
2410004B18Rik;increase;mRNA;40;16_weeks;5_months;mouse;C57BL/6J;male;liver;10.1038/s41598-017-00267-9
2410006H16Rik;increase;mRNA;40;16_weeks;5_months;mouse;C57BL/6J;male;liver;10.1038/s41598-017-00267-9
2410015M20Rik;increase;mRNA;40;16_weeks;5_months;mouse;C57BL/6J;male;liver;10.1038/s41598-017-00267-9
2410066E13Rik;decrease;mRNA;20;8_months;3_months;mouse;C57BL/6;male;fat;10.1093/gerona/glx101
2410066E13Rik;decrease;mRNA;30;8_months;3_months;mouse;C57BL/6;male;fat;10.1093/gerona/glx101
2410066E13Rik;decrease;mRNA;40;8_months;3_months;mouse;C57BL/6;male;fat;10.1093/gerona/glx101
2510009E07Rik;decrease;mRNA;40;16_weeks;5_months;mouse;C57BL/6J;male;liver;10.1038/s41598-017-00267-9
2510009E07Rik;increase;mRNA;60;20_days;20_weeks;mouse;C57BL/6J;both;muscle;10.3390/genes12050691
2510009E07Rik;decrease;mRNA;60;20_days;80_weeks;mouse;C57BL/6J;both;muscle;10.3390/genes12050691
2610008E11Rik;decrease;mRNA;40;16_weeks;5_months;mouse;C57BL/6J;male;liver;10.1038/s41598-017-00267-9
2610035D17Rik;decrease;mRNA;40;16_weeks;5_months;mouse;C57BL/6J;male;liver;10.1038/s41598-017-00267-9
2610528J11Rik;increase;mRNA;40;16_weeks;5_months;mouse;C57BL/6J;male;liver;10.1038/s41598-017-00267-9
2700062C07Rik;decrease;mRNA;40;16_weeks;5_months;mouse;C57BL/6J;male;liver;10.1038/s41598-017-00267-9
2700081O15Rik;decrease;mRNA;20;8_months;3_months;mouse;C57BL/6;male;fat;10.1093/gerona/glx101
2700081O15Rik;decrease;mRNA;30;8_months;3_months;mouse;C57BL/6;male;fat;10.1093/gerona/glx101
2700081O15Rik;decrease;mRNA;40;8_months;3_months;mouse;C57BL/6;male;fat;10.1093/gerona/glx101
2700094K13Rik;increase;mRNA;40;16_weeks;5_months;mouse;C57BL/6J;male;liver;10.1038/s41598-017-00267-9
2810403D21Rik;increase;mRNA;40;16_weeks;5_months;mouse;C57BL/6J;male;liver;10.1038/s41598-017-00267-9
2900026A02Rik;decrease;mRNA;20;8_months;3_months;mouse;C57BL/6;male;fat;10.1093/gerona/glx101
2900026A02Rik;decrease;mRNA;30;8_months;3_months;mouse;C57BL/6;male;fat;10.1093/gerona/glx101
2900026A02Rik;decrease;mRNA;40;8_months;3_months;mouse;C57BL/6;male;fat;10.1093/gerona/glx101
2900026A02Rik;increase;mRNA;60;20_days;20_weeks;mouse;C57BL/6J;both;muscle;10.3390/genes12050691
3010026O09Rik;decrease;mRNA;40;16_weeks;5_months;mouse;C57BL/6J;male;liver;10.1038/s41598-017-00267-9
3110039I08Rik;decrease;mRNA;40;16_weeks;5_months;mouse;C57BL/6J;male;liver;10.1038/s41598-017-00267-9
3110082I17Rik;increase;mRNA;40;16_weeks;5_months;mouse;C57BL/6J;male;liver;10.1038/s41598-017-00267-9
3930402G23Rik;decrease;mRNA;40;16_weeks;5_months;mouse;C57BL/6J;male;liver;10.1038/s41598-017-00267-9
4833411C07Rik;decrease;mRNA;40;16_weeks;5_months;mouse;C57BL/6J;male;liver;10.1038/s41598-017-00267-9
4833439L19Rik;increase;mRNA;40;16_weeks;5_months;mouse;C57BL/6J;male;liver;10.1038/s41598-017-00267-9
4930471I20Rik;increase;mRNA;20;8_months;3_months;mouse;C57BL/6;male;fat;10.1093/gerona/glx101
4930471I20Rik;increase;mRNA;30;8_months;3_months;mouse;C57BL/6;male;fat;10.1093/gerona/glx101
4930471I20Rik;increase;mRNA;40;8_months;3_months;mouse;C57BL/6;male;fat;10.1093/gerona/glx101
4930480G23Rik;decrease;mRNA;40;16_weeks;5_months;mouse;C57BL/6J;male;liver;10.1038/s41598-017-00267-9
4930481A15Rik;increase;mRNA;40;16_weeks;5_months;mouse;C57BL/6J;male;liver;10.1038/s41598-017-00267-9
4930506C21Rik;increase;mRNA;20;8_months;3_months;mouse;C57BL/6;male;fat;10.1093/gerona/glx101
4930506C21Rik;increase;mRNA;30;8_months;3_months;mouse;C57BL/6;male;fat;10.1093/gerona/glx101
4930506C21Rik;increase;mRNA;40;8_months;3_months;mouse;C57BL/6;male;fat;10.1093/gerona/glx101
4930539J05Rik;increase;mRNA;40;16_weeks;5_months;mouse;C57BL/6J;male;liver;10.1038/s41598-017-00267-9
4930581F22Rik;increase;mRNA;40;16_weeks;5_months;mouse;C57BL/6J;male;liver;10.1038/s41598-017-00267-9
4931408D14Rik;increase;mRNA;40;16_weeks;5_months;mouse;C57BL/6J;male;liver;10.1038/s41598-017-00267-9
4931414P19Rik;increase;mRNA;40;16_weeks;5_months;mouse;C57BL/6J;male;liver;10.1038/s41598-017-00267-9
4932411N23Rik;decrease;mRNA;40;16_weeks;5_months;mouse;C57BL/6J;male;liver;10.1038/s41598-017-00267-9
4932438A13Rik;decrease;mRNA;40;16_weeks;5_months;mouse;C57BL/6J;male;liver;10.1038/s41598-017-00267-9
4933415F23Rik;increase;mRNA;60;20_days;80_weeks;mouse;C57BL/6J;both;muscle;10.3390/genes12050691
5031439G07Rik;increase;mRNA;60;20_days;20_weeks;mouse;C57BL/6J;both;muscle;10.3390/genes12050691
5031439G07Rik;decrease;mRNA;60;20_days;80_weeks;mouse;C57BL/6J;both;muscle;10.3390/genes12050691
5033403H07Rik;decrease;mRNA;40;16_weeks;5_months;mouse;C57BL/6J;male;liver;10.1038/s41598-017-00267-9
5033411D12Rik;increase;mRNA;20;8_months;3_months;mouse;C57BL/6;male;fat;10.1093/gerona/glx101
5033411D12Rik;increase;mRNA;30;8_months;3_months;mouse;C57BL/6;male;fat;10.1093/gerona/glx101
5033411D12Rik;increase;mRNA;40;8_months;3_months;mouse;C57BL/6;male;fat;10.1093/gerona/glx101
6330416G13Rik;decrease;mRNA;40;16_weeks;5_months;mouse;C57BL/6J;male;liver;10.1038/s41598-017-00267-9
6430548M08Rik;decrease;mRNA;60;20_days;20_weeks;mouse;C57BL/6J;both;muscle;10.3390/genes12050691
6430571L13Rik;increase;mRNA;60;20_days;20_weeks;mouse;C57BL/6J;both;muscle;10.3390/genes12050691
8030462N17Rik;increase;mRNA;60;20_days;20_weeks;mouse;C57BL/6J;both;muscle;10.3390/genes12050691
8030462N17Rik;decrease;mRNA;60;20_days;80_weeks;mouse;C57BL/6J;both;muscle;10.3390/genes12050691
8430408G22Rik;decrease;mRNA;40;16_weeks;5_months;mouse;C57BL/6J;male;liver;10.1038/s41598-017-00267-9
8430408G22Rik;decrease;mRNA;60;20_days;20_weeks;mouse;C57BL/6J;both;muscle;10.3390/genes12050691
8430408G22Rik;increase;mRNA;60;20_days;80_weeks;mouse;C57BL/6J;both;muscle;10.3390/genes12050691
9030617O03Rik;increase;mRNA;40;16_weeks;5_months;mouse;C57BL/6J;male;liver;10.1038/s41598-017-00267-9
9030619P08Rik;increase;mRNA;40;16_weeks;5_months;mouse;C57BL/6J;male;liver;10.1038/s41598-017-00267-9
9130409I23Rik;increase;mRNA;40;16_weeks;5_months;mouse;C57BL/6J;male;liver;10.1038/s41598-017-00267-9
9230104L09Rik;increase;mRNA;20;8_months;3_months;mouse;C57BL/6;male;fat;10.1093/gerona/glx101
9230104L09Rik;increase;mRNA;30;8_months;3_months;mouse;C57BL/6;male;fat;10.1093/gerona/glx101
9230104L09Rik;increase;mRNA;40;8_months;3_months;mouse;C57BL/6;male;fat;10.1093/gerona/glx101
9230110F15Rik;increase;mRNA;20;8_months;3_months;mouse;C57BL/6;male;fat;10.1093/gerona/glx101
9230110F15Rik;increase;mRNA;30;8_months;3_months;mouse;C57BL/6;male;fat;10.1093/gerona/glx101
9230110F15Rik;increase;mRNA;40;8_months;3_months;mouse;C57BL/6;male;fat;10.1093/gerona/glx101
9430015G10Rik;decrease;mRNA;60;20_days;20_weeks;mouse;C57BL/6J;both;muscle;10.3390/genes12050691
9430020K01Rik;decrease;mRNA;30;8_months;3_months;mouse;C57BL/6;male;fat;10.1093/gerona/glx101
9430020K01Rik;decrease;mRNA;40;8_months;3_months;mouse;C57BL/6;male;fat;10.1093/gerona/glx101
9430038I01Rik;increase;mRNA;40;16_weeks;5_months;mouse;C57BL/6J;male;liver;10.1038/s41598-017-00267-9
9930021J03Rik;increase;mRNA;60;20_days;20_weeks;mouse;C57BL/6J;both;muscle;10.3390/genes12050691
A130010J15Rik;increase;mRNA;40;16_weeks;5_months;mouse;C57BL/6J;male;liver;10.1038/s41598-017-00267-9
A1cf;increase;mRNA;40;16_weeks;5_months;mouse;C57BL/6J;male;liver;10.1038/s41598-017-00267-9
A430046D13Rik;increase;mRNA;40;16_weeks;5_months;mouse;C57BL/6J;male;liver;10.1038/s41598-017-00267-9
A430105I19Rik;decrease;mRNA;20;8_months;3_months;mouse;C57BL/6;male;fat;10.1093/gerona/glx101
A430105I19Rik;decrease;mRNA;30;8_months;3_months;mouse;C57BL/6;male;fat;10.1093/gerona/glx101
A430105I19Rik;decrease;mRNA;40;8_months;3_months;mouse;C57BL/6;male;fat;10.1093/gerona/glx101
A630001G21Rik;decrease;mRNA;40;16_weeks;5_months;mouse;C57BL/6J;male;liver;10.1038/s41598-017-00267-9
A630020A06;decrease;mRNA;40;16_weeks;5_months;mouse;C57BL/6J;male;liver;10.1038/s41598-017-00267-9
A830052D11Rik;increase;mRNA;40;16_weeks;5_months;mouse;C57BL/6J;male;liver;10.1038/s41598-017-00267-9
A930033H14Rik;decrease;mRNA;60;20_days;20_weeks;mouse;C57BL/6J;both;muscle;10.3390/genes12050691
Aacs;increase;mRNA;40;16_weeks;5_months;mouse;C57BL/6J;male;liver;10.1038/s41598-017-00267-9
Aacs;increase;mRNA;20;8_months;3_months;mouse;C57BL/6;male;fat;10.1093/gerona/glx101
Aacs;increase;mRNA;30;8_months;3_months;mouse;C57BL/6;male;fat;10.1093/gerona/glx101
Aacs;increase;mRNA;40;8_months;3_months;mouse;C57BL/6;male;fat;10.1093/gerona/glx101
Aars;decrease;mRNA;40;16_weeks;5_months;mouse;C57BL/6J;male;liver;10.1038/s41598-017-00267-9
Aass;decrease;mRNA;40;16_weeks;5_months;mouse;C57BL/6J;male;liver;10.1038/s41598-017-00267-9
Aatk;decrease;mRNA;40;16_weeks;5_months;mouse;C57BL/6J;male;liver;10.1038/s41598-017-00267-9
Abat;decrease;mRNA;20;8_months;3_months;mouse;C57BL/6;male;fat;10.1093/gerona/glx101
Abat;decrease;mRNA;30;8_months;3_months;mouse;C57BL/6;male;fat;10.1093/gerona/glx101
Abat;decrease;mRNA;40;8_months;3_months;mouse;C57BL/6;male;fat;10.1093/gerona/glx101
Abca1;decrease;mRNA;40;16_weeks;5_months;mouse;C57BL/6J;male;liver;10.1038/s41598-017-00267-9
Abca1;increase;mRNA;60;20_days;20_weeks;mouse;C57BL/6J;both;muscle;10.3390/genes12050691
Abca1;increase;mRNA;60;20_days;80_weeks;mouse;C57BL/6J;both;muscle;10.3390/genes12050691
Abca2;increase;mRNA;40;16_weeks;5_months;mouse;C57BL/6J;male;liver;10.1038/s41598-017-00267-9
Abca4;increase;mRNA;60;20_days;20_weeks;mouse;C57BL/6J;both;muscle;10.3390/genes12050691
Abca8a;increase;mRNA;40;16_weeks;5_months;mouse;C57BL/6J;male;liver;10.1038/s41598-017-00267-9
Abca9;increase;mRNA;40;16_weeks;5_months;mouse;C57BL/6J;male;liver;10.1038/s41598-017-00267-9
Abcb10;increase;mRNA;40;16_weeks;5_months;mouse;C57BL/6J;male;liver;10.1038/s41598-017-00267-9
Abcb10;decrease;mRNA;60;20_days;80_weeks;mouse;C57BL/6J;both;muscle;10.3390/genes12050691
Abcb1a;increase;mRNA;40;16_weeks;5_months;mouse;C57BL/6J;male;liver;10.1038/s41598-017-00267-9
Abcb4;decrease;mRNA;40;16_weeks;5_months;mouse;C57BL/6J;male;liver;10.1038/s41598-017-00267-9
Abcb6;decrease;mRNA;60;20_days;20_weeks;mouse;C57BL/6J;both;muscle;10.3390/genes12050691
Abcb8;increase;mRNA;40;16_weeks;5_months;mouse;C57BL/6J;male;liver;10.1038/s41598-017-00267-9
Abcc1;increase;mRNA;60;20_days;20_weeks;mouse;C57BL/6J;both;muscle;10.3390/genes12050691
Abcc2;increase;mRNA;40;16_weeks;5_months;mouse;C57BL/6J;male;liver;10.1038/s41598-017-00267-9
Abcc4;increase;mRNA;40;16_weeks;5_months;mouse;C57BL/6J;male;liver;10.1038/s41598-017-00267-9
Abcc5;decrease;mRNA;60;20_days;80_weeks;mouse;C57BL/6J;both;muscle;10.3390/genes12050691
Abcc6;increase;mRNA;40;16_weeks;5_months;mouse;C57BL/6J;male;liver;10.1038/s41598-017-00267-9
Abcc8;decrease;mRNA;60;20_days;20_weeks;mouse;C57BL/6J;both;muscle;10.3390/genes12050691
Abcc9;decrease;mRNA;40;16_weeks;5_months;mouse;C57BL/6J;male;liver;10.1038/s41598-017-00267-9
Abcd1;increase;mRNA;40;16_weeks;5_months;mouse;C57BL/6J;male;liver;10.1038/s41598-017-00267-9
Abcd2;increase;mRNA;40;16_weeks;5_months;mouse;C57BL/6J;male;liver;10.1038/s41598-017-00267-9
Abcd2;increase;mRNA;60;20_days;20_weeks;mouse;C57BL/6J;both;muscle;10.3390/genes12050691
Abcd4;increase;mRNA;60;20_days;80_weeks;mouse;C57BL/6J;both;muscle;10.3390/genes12050691
Abce1;decrease;mRNA;40;16_weeks;5_months;mouse;C57BL/6J;male;liver;10.1038/s41598-017-00267-9
Abcg4;decrease;mRNA;20;8_months;3_months;mouse;C57BL/6;male;fat;10.1093/gerona/glx101
Abcg4;decrease;mRNA;30;8_months;3_months;mouse;C57BL/6;male;fat;10.1093/gerona/glx101
Abcg4;decrease;mRNA;40;8_months;3_months;mouse;C57BL/6;male;fat;10.1093/gerona/glx101
Abcg5;increase;mRNA;40;16_weeks;5_months;mouse;C57BL/6J;male;liver;10.1038/s41598-017-00267-9
Abcg8;increase;mRNA;40;16_weeks;5_months;mouse;C57BL/6J;male;liver;10.1038/s41598-017-00267-9
Abhd15;increase;mRNA;40;16_weeks;5_months;mouse;C57BL/6J;male;liver;10.1038/s41598-017-00267-9
Abhd16a;increase;mRNA;60;20_days;20_weeks;mouse;C57BL/6J;both;muscle;10.3390/genes12050691
Abhd17a;increase;mRNA;40;16_weeks;5_months;mouse;C57BL/6J;male;liver;10.1038/s41598-017-00267-9
Abhd17b;increase;mRNA;40;16_weeks;5_months;mouse;C57BL/6J;male;liver;10.1038/s41598-017-00267-9
Abhd18;increase;mRNA;40;16_weeks;5_months;mouse;C57BL/6J;male;liver;10.1038/s41598-017-00267-9
Abhd18;decrease;mRNA;60;20_days;20_weeks;mouse;C57BL/6J;both;muscle;10.3390/genes12050691
Abhd6;increase;mRNA;60;20_days;80_weeks;mouse;C57BL/6J;both;muscle;10.3390/genes12050691
Abi2;increase;mRNA;60;20_days;20_weeks;mouse;C57BL/6J;both;muscle;10.3390/genes12050691
Abl1;increase;mRNA;60;20_days;20_weeks;mouse;C57BL/6J;both;muscle;10.3390/genes12050691
Ablim3;decrease;mRNA;40;16_weeks;5_months;mouse;C57BL/6J;male;liver;10.1038/s41598-017-00267-9
Abr;decrease;mRNA;60;20_days;20_weeks;mouse;C57BL/6J;both;muscle;10.3390/genes12050691
Abra;decrease;mRNA;60;20_days;20_weeks;mouse;C57BL/6J;both;muscle;10.3390/genes12050691
Acaa1a;decrease;mRNA;60;20_days;20_weeks;mouse;C57BL/6J;both;muscle;10.3390/genes12050691
Acaca;increase;mRNA;20;8_months;3_months;mouse;C57BL/6;male;fat;10.1093/gerona/glx101
Acaca;increase;mRNA;30;8_months;3_months;mouse;C57BL/6;male;fat;10.1093/gerona/glx101
Acaca;increase;mRNA;40;8_months;3_months;mouse;C57BL/6;male;fat;10.1093/gerona/glx101
Acacb;increase;mRNA;40;16_weeks;5_months;mouse;C57BL/6J;male;liver;10.1038/s41598-017-00267-9
Acacb;increase;mRNA;20;8_months;3_months;mouse;C57BL/6;male;fat;10.1093/gerona/glx101
Acacb;increase;mRNA;30;8_months;3_months;mouse;C57BL/6;male;fat;10.1093/gerona/glx101
Acacb;increase;mRNA;40;8_months;3_months;mouse;C57BL/6;male;fat;10.1093/gerona/glx101
Acad10;increase;mRNA;40;16_weeks;5_months;mouse;C57BL/6J;male;liver;10.1038/s41598-017-00267-9
Acad12;increase;mRNA;40;16_weeks;5_months;mouse;C57BL/6J;male;liver;10.1038/s41598-017-00267-9
Acadl;decrease;mRNA;40;16_weeks;5_months;mouse;C57BL/6J;male;liver;10.1038/s41598-017-00267-9
Acads;increase;mRNA;40;16_weeks;5_months;mouse;C57BL/6J;male;liver;10.1038/s41598-017-00267-9
Acadsb;decrease;mRNA;60;20_days;20_weeks;mouse;C57BL/6J;both;muscle;10.3390/genes12050691
Acat2;increase;mRNA;40;16_weeks;5_months;mouse;C57BL/6J;male;liver;10.1038/s41598-017-00267-9
Acat2;increase;mRNA;20;8_months;3_months;mouse;C57BL/6;male;fat;10.1093/gerona/glx101
Acat2;increase;mRNA;30;8_months;3_months;mouse;C57BL/6;male;fat;10.1093/gerona/glx101
Acat2;increase;mRNA;40;8_months;3_months;mouse;C57BL/6;male;fat;10.1093/gerona/glx101
Acer2;increase;mRNA;60;20_days;80_weeks;mouse;C57BL/6J;both;muscle;10.3390/genes12050691
Ache;increase;mRNA;60;20_days;20_weeks;mouse;C57BL/6J;both;muscle;10.3390/genes12050691
Ackr2;decrease;mRNA;40;16_weeks;5_months;mouse;C57BL/6J;male;liver;10.1038/s41598-017-00267-9
Acly;increase;mRNA;40;16_weeks;5_months;mouse;C57BL/6J;male;liver;10.1038/s41598-017-00267-9
Acly;increase;mRNA;20;8_months;3_months;mouse;C57BL/6;male;fat;10.1093/gerona/glx101
Acly;increase;mRNA;30;8_months;3_months;mouse;C57BL/6;male;fat;10.1093/gerona/glx101
Acly;increase;mRNA;40;8_months;3_months;mouse;C57BL/6;male;fat;10.1093/gerona/glx101
Acmsd;increase;mRNA;40;16_weeks;5_months;mouse;C57BL/6J;male;liver;10.1038/s41598-017-00267-9
Acnat1;decrease;mRNA;40;16_weeks;5_months;mouse;C57BL/6J;male;liver;10.1038/s41598-017-00267-9
Acnat2;decrease;mRNA;40;16_weeks;5_months;mouse;C57BL/6J;male;liver;10.1038/s41598-017-00267-9
Aco1;increase;mRNA;40;16_weeks;5_months;mouse;C57BL/6J;male;liver;10.1038/s41598-017-00267-9
Aco1;decrease;mRNA;60;20_days;20_weeks;mouse;C57BL/6J;both;muscle;10.3390/genes12050691
Acot1;decrease;mRNA;40;16_weeks;5_months;mouse;C57BL/6J;male;liver;10.1038/s41598-017-00267-9
Acot1;increase;mRNA;20;8_months;3_months;mouse;C57BL/6;male;fat;10.1093/gerona/glx101
Acot1;increase;mRNA;30;8_months;3_months;mouse;C57BL/6;male;fat;10.1093/gerona/glx101
Acot1;increase;mRNA;40;8_months;3_months;mouse;C57BL/6;male;fat;10.1093/gerona/glx101
Acot13;increase;mRNA;20;8_months;3_months;mouse;C57BL/6;male;fat;10.1093/gerona/glx101
Acot13;increase;mRNA;30;8_months;3_months;mouse;C57BL/6;male;fat;10.1093/gerona/glx101
Acot13;increase;mRNA;40;8_months;3_months;mouse;C57BL/6;male;fat;10.1093/gerona/glx101
Acot2;decrease;mRNA;40;16_weeks;5_months;mouse;C57BL/6J;male;liver;10.1038/s41598-017-00267-9
Acot2;increase;mRNA;20;8_months;3_months;mouse;C57BL/6;male;fat;10.1093/gerona/glx101
Acot2;increase;mRNA;30;8_months;3_months;mouse;C57BL/6;male;fat;10.1093/gerona/glx101
Acot2;increase;mRNA;40;8_months;3_months;mouse;C57BL/6;male;fat;10.1093/gerona/glx101
Acot3;increase;mRNA;40;16_weeks;5_months;mouse;C57BL/6J;male;liver;10.1038/s41598-017-00267-9
Acot3;increase;mRNA;10;3_months;8_months;mouse;C57BL/6;male;fat;10.1093/gerona/glx101
Acot3;increase;mRNA;20;8_months;3_months;mouse;C57BL/6;male;fat;10.1093/gerona/glx101
Acot3;increase;mRNA;30;8_months;3_months;mouse;C57BL/6;male;fat;10.1093/gerona/glx101
Acot3;increase;mRNA;40;8_months;3_months;mouse;C57BL/6;male;fat;10.1093/gerona/glx101
Acot4;increase;mRNA;40;16_weeks;5_months;mouse;C57BL/6J;male;liver;10.1038/s41598-017-00267-9
Acot4;increase;mRNA;20;8_months;3_months;mouse;C57BL/6;male;fat;10.1093/gerona/glx101
Acot4;increase;mRNA;30;8_months;3_months;mouse;C57BL/6;male;fat;10.1093/gerona/glx101
Acot4;increase;mRNA;40;8_months;3_months;mouse;C57BL/6;male;fat;10.1093/gerona/glx101
Acox1;decrease;mRNA;60;20_days;20_weeks;mouse;C57BL/6J;both;muscle;10.3390/genes12050691
