;Gene;Gene human;effect;change type;expression evaluation by;sample;model organism;line;sex;change percentage;p_value;age of control - min;age of experiment - min;age of control - mean;age of experiment - mean;age of control - max;age of experiment - max;age unit;doi;pmid;;;;;
42;Cdkn2a;CDKN2A;increase;increased gene expression;mRNA;brain;mouse;CB6F1;female;400,00;;n/a;n/a;4;12;n/a;n/a;months;10.3389/fgene.2018.00059;n/a;;;;;
43;Cdkn2a;CDKN2A;increase;increased gene expression;mRNA;brain;mouse;CB6F1;female;450,00;;n/a;n/a;4;24;n/a;n/a;months;10.3389/fgene.2018.00059;n/a;;;;;
44;Cdkn2a;CDKN2A;increase;increased gene expression;mRNA;brain;mouse;CB6F1;female;900,00;;n/a;n/a;4;30;n/a;n/a;months;10.3389/fgene.2018.00059;n/a;;;;;
45;Cdkn2a;CDKN2A;increase;increased gene expression;mRNA;brain;mouse;CB6F1;female;40,00;;n/a;n/a;4;12;n/a;n/a;months;10.3389/fgene.2018.00059;n/a;;;;;
46;Cdkn2a;CDKN2A;increase;increased gene expression;mRNA;brain;mouse;CB6F1;female;70,00;;n/a;n/a;4;24;n/a;n/a;months;10.3389/fgene.2018.00059;n/a;;;;;
47;Cdkn2a;CDKN2A;increase;increased gene expression;mRNA;brain;mouse;CB6F1;female;275,00;;n/a;n/a;4;30;n/a;n/a;months;10.3389/fgene.2018.00059;n/a;;;;;
48;Cisd2;CISD2;decrease;decreased gene expression;mRNA;brain;mouse;C57BL/6;male;-56,00;;n/a;n/a;2;28;n/a;n/a;months;10.1111/j.1749-6632.2010.05619.x;n/a;;;;;
49;Cisd2;CISD2;decrease;decreased gene expression;mRNA;brain;mouse;C57BL/6;male;-13,00;;n/a;n/a;2;6;n/a;n/a;months;10.1111/j.1749-6632.2010.05619.x;n/a;;;;;
50;Cisd2;CISD2;decrease;decreased gene expression;mRNA;brain;mouse;C57BL/6;male;-26,00;;n/a;n/a;2;15;n/a;n/a;months;10.1111/j.1749-6632.2010.05619.x;n/a;;;;;
51;Cisd2;CISD2;decrease;decreased gene expression;mRNA;brain;mouse;C57BL/6;male;-26,00;;n/a;n/a;2;15;n/a;n/a;months;10.1111/j.1749-6632.2010.05619.x;n/a;;;;;
52;Col3a1;COL3A1;decrease;decreased gene expression;mRNA;brain;mouse;Agouti;female;-93,00;<0.01;8;89;10.4;92.6;12;n/a;weeks;10.1007/s00223-014-9843-x;n/a;;;;;
53;Col4a1;COL4A1;decrease;decreased gene expression;mRNA;brain;mouse;B6xSJL F1;both;-80,00;;n/a;n/a;5;8;n/a;n/a;weeks;10.1152/ajprenal.1992.263.5.F951;n/a;;;;;
54;Col4a1;COL4A1;decrease;decreased gene expression;mRNA;brain;mouse;B6xSJL F1;both;-65,00;;n/a;n/a;5;8;n/a;n/a;weeks;10.1152/ajprenal.1992.263.5.F951;n/a;;;;;
55;Col4a1;COL4A1;decrease;decreased gene expression;mRNA;brain;mouse;ICR;male;-71,00;;n/a;n/a;1;18;n/a;n/a;months;10.1371/journal.pone.0048974;n/a;;;;;
56;Col4a1;COL4A1;decrease;decreased gene expression;mRNA;brain;mouse;ICR;male;-80,00;;n/a;n/a;1;18;n/a;n/a;months;10.1371/journal.pone.0048974;n/a;;;;;
57;Col4a1;COL4A1;decrease;decreased gene expression;mRNA;brain;mouse;ICR;male;-71,00;;n/a;n/a;1;18;n/a;n/a;months;10.1371/journal.pone.0048974;n/a;;;;;
58;Col4a1;COL4A1;decrease;decreased gene expression;mRNA;brain;mouse;ICR;male;-81,00;;n/a;n/a;1;18;n/a;n/a;months;10.1371/journal.pone.0048974;n/a;;;;;
59;Col4a2;COL4A2;decrease;decreased gene expression;mRNA;brain;mouse;B6xSJL F1;both;-64,00;;n/a;n/a;5;8;n/a;n/a;weeks;10.1152/ajprenal.1992.263.5.F951;n/a;;;;;
60;Col4a2;COL4A2;decrease;decreased gene expression;mRNA;brain;mouse;n/a;both;-48,00;;n/a;n/a;5;12;n/a;n/a;weeks;10.1152/ajprenal.1992.263.5.F951;n/a;;;;;
61;Col4a2;COL4A2;decrease;decreased gene expression;mRNA;brain;mouse;ICR;male;-67,00;;n/a;n/a;1;18;n/a;n/a;months;10.1371/journal.pone.0048974;n/a;;;;;
62;Col4a2;COL4A2;decrease;decreased gene expression;mRNA;brain;mouse;ICR;male;-76,00;;n/a;n/a;1;18;n/a;n/a;months;10.1371/journal.pone.0048974;n/a;;;;;
63;Col4a2;COL4A2;decrease;decreased gene expression;mRNA;brain;mouse;ICR;male;-76,00;;n/a;n/a;1;18;n/a;n/a;months;10.1371/journal.pone.0048974;n/a;;;;;
64;Col4a2;COL4A2;decrease;decreased gene expression;mRNA;brain;mouse;ICR;male;-76,00;;n/a;n/a;1;18;n/a;n/a;months;10.1371/journal.pone.0048974;n/a;;;;;
65;Col4a3;COL4A3;decrease;decreased gene expression;mRNA;brain;mouse;ICR;male;-48,00;;n/a;n/a;1;18;n/a;n/a;months;10.1371/journal.pone.0048974;n/a;;;;;
66;Col4a3;COL4A3;decrease;decreased gene expression;mRNA;brain;mouse;ICR;male;-57,00;;n/a;n/a;1;18;n/a;n/a;months;10.1371/journal.pone.0048974;n/a;;;;;
67;Col4a3;COL4A3;decrease;decreased gene expression;mRNA;brain;mouse;ICR;male;-33,00;;n/a;n/a;1;18;n/a;n/a;months;10.1371/journal.pone.0048974;n/a;;;;;
68;Col4a4;COL4A4;decrease;decreased gene expression;mRNA;brain;mouse;ICR;male;-62,00;;n/a;n/a;1;18;n/a;n/a;months;10.1371/journal.pone.0048974;n/a;;;;;
69;Col4a4;COL4A4;decrease;decreased gene expression;mRNA;brain;mouse;ICR;male;-62,00;;n/a;n/a;1;18;n/a;n/a;months;10.1371/journal.pone.0048974;n/a;;;;;
70;Col4a5;COL4A5;decrease;decreased gene expression;mRNA;brain;mouse;ICR;male;-76,00;;n/a;n/a;1;18;n/a;n/a;months;10.1371/journal.pone.0048974;n/a;;;;;
71;Col4a5;COL4A5;decrease;decreased gene expression;mRNA;brain;mouse;ICR;male;-62,00;;n/a;n/a;1;18;n/a;n/a;months;10.1371/journal.pone.0048974;n/a;;;;;
72;Col4a5;COL4A5;decrease;decreased gene expression;mRNA;brain;mouse;ICR;male;-81,00;;n/a;n/a;1;18;n/a;n/a;months;10.1371/journal.pone.0048974;n/a;;;;;
